TOTAL_TIME,0m6s
TOTAL_FRAMES,271
SELECTED_FRAMES,271
NO_OF_JOINTS,12
FREQUENCY,42.666668
DESCRIPTION,Capture 23
TIME_STAMP,Jul 8, 2010

Time,Frame,Pelvis_accelX_Pelvis,Pelvis_accelY_Pelvis,Pelvis_accelZ_Pelvis,Pelvis_gyroX_Pelvis,Pelvis_gyroY_Pelvis,Pelvis_gyroZ_Pelvis,Pelvis_Joint angle_Pelvis,Pelvis_Relative pos X_Pelvis,Pelvis_Relative pos Y_Pelvis,Pelvis_Relative pos Z_Pelvis,RightPelvis_accelX_RightPelvis,RightPelvis_accelY_RightPelvis,RightPelvis_accelZ_RightPelvis,RightPelvis_gyroX_RightPelvis,RightPelvis_gyroY_RightPelvis,RightPelvis_gyroZ_RightPelvis,RightPelvis_Joint angle_RightPelvis,RightPelvis_Relative pos X_RightPelvis,RightPelvis_Relative pos Y_RightPelvis,RightPelvis_Relative pos Z_RightPelvis,RightUpLeg_accelX_RightUpLeg,RightUpLeg_accelY_RightUpLeg,RightUpLeg_accelZ_RightUpLeg,RightUpLeg_gyroX_RightUpLeg,RightUpLeg_gyroY_RightUpLeg,RightUpLeg_gyroZ_RightUpLeg,RightUpLeg_Joint angle_RightUpLeg,RightUpLeg_Relative pos X_RightUpLeg,RightUpLeg_Relative pos Y_RightUpLeg,RightUpLeg_Relative pos Z_RightUpLeg,RightLeg_accelX_RightLeg,RightLeg_accelY_RightLeg,RightLeg_accelZ_RightLeg,RightLeg_gyroX_RightLeg,RightLeg_gyroY_RightLeg,RightLeg_gyroZ_RightLeg,RightLeg_Joint angle_RightLeg,RightLeg_Relative pos X_RightLeg,RightLeg_Relative pos Y_RightLeg,RightLeg_Relative pos Z_RightLeg,RightFoot_accelX_RightFoot,RightFoot_accelY_RightFoot,RightFoot_accelZ_RightFoot,RightFoot_gyroX_RightFoot,RightFoot_gyroY_RightFoot,RightFoot_gyroZ_RightFoot,RightFoot_Joint angle_RightFoot,RightFoot_Relative pos X_RightFoot,RightFoot_Relative pos Y_RightFoot,RightFoot_Relative pos Z_RightFoot,RightFootEnd_accelX_RightFootEnd,RightFootEnd_accelY_RightFootEnd,RightFootEnd_accelZ_RightFootEnd,RightFootEnd_gyroX_RightFootEnd,RightFootEnd_gyroY_RightFootEnd,RightFootEnd_gyroZ_RightFootEnd,RightFootEnd_Joint angle_RightFootEnd,RightFootEnd_Relative pos X_RightFootEnd,RightFootEnd_Relative pos Y_RightFootEnd,RightFootEnd_Relative pos Z_RightFootEnd,LeftPelvis_accelX_LeftPelvis,LeftPelvis_accelY_LeftPelvis,LeftPelvis_accelZ_LeftPelvis,LeftPelvis_gyroX_LeftPelvis,LeftPelvis_gyroY_LeftPelvis,LeftPelvis_gyroZ_LeftPelvis,LeftPelvis_Joint angle_LeftPelvis,LeftPelvis_Relative pos X_LeftPelvis,LeftPelvis_Relative pos Y_LeftPelvis,LeftPelvis_Relative pos Z_LeftPelvis,LeftUpLeg_accelX_LeftUpLeg,LeftUpLeg_accelY_LeftUpLeg,LeftUpLeg_accelZ_LeftUpLeg,LeftUpLeg_gyroX_LeftUpLeg,LeftUpLeg_gyroY_LeftUpLeg,LeftUpLeg_gyroZ_LeftUpLeg,LeftUpLeg_Joint angle_LeftUpLeg,LeftUpLeg_Relative pos X_LeftUpLeg,LeftUpLeg_Relative pos Y_LeftUpLeg,LeftUpLeg_Relative pos Z_LeftUpLeg,LeftLeg_accelX_LeftLeg,LeftLeg_accelY_LeftLeg,LeftLeg_accelZ_LeftLeg,LeftLeg_gyroX_LeftLeg,LeftLeg_gyroY_LeftLeg,LeftLeg_gyroZ_LeftLeg,LeftLeg_Joint angle_LeftLeg,LeftLeg_Relative pos X_LeftLeg,LeftLeg_Relative pos Y_LeftLeg,LeftLeg_Relative pos Z_LeftLeg,LeftFoot_accelX_LeftFoot,LeftFoot_accelY_LeftFoot,LeftFoot_accelZ_LeftFoot,LeftFoot_gyroX_LeftFoot,LeftFoot_gyroY_LeftFoot,LeftFoot_gyroZ_LeftFoot,LeftFoot_Joint angle_LeftFoot,LeftFoot_Relative pos X_LeftFoot,LeftFoot_Relative pos Y_LeftFoot,LeftFoot_Relative pos Z_LeftFoot,LeftFootEnd_accelX_LeftFootEnd,LeftFootEnd_accelY_LeftFootEnd,LeftFootEnd_accelZ_LeftFootEnd,LeftFootEnd_gyroX_LeftFootEnd,LeftFootEnd_gyroY_LeftFootEnd,LeftFootEnd_gyroZ_LeftFootEnd,LeftFootEnd_Joint angle_LeftFootEnd,LeftFootEnd_Relative pos X_LeftFootEnd,LeftFootEnd_Relative pos Y_LeftFootEnd,LeftFootEnd_Relative pos Z_LeftFootEnd,Spine_accelX_Spine,Spine_accelY_Spine,Spine_accelZ_Spine,Spine_gyroX_Spine,Spine_gyroY_Spine,Spine_gyroZ_Spine,Spine_Joint angle_Spine,Spine_Relative pos X_Spine,Spine_Relative pos Y_Spine,Spine_Relative pos Z_Spine,
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.02343749930150809,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.04687499860301618,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.07031249790452426,3,-0.012939453,-0.9484253,0.36029053,-0.038085938,0.022460938,0.06542969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10684541,-0.012935987,-0.9942721,0.018371582,-0.9293823,-0.42175293,-0.0146484375,0.005859375,0.017578125,5.822852,-2.2120328,-0.26781505,-20.584515,-0.96466064,-0.10656738,-0.17706299,-0.03515625,0.026367188,0.016601562,1.6243762,2.0257096,-57.117012,-20.302555,0.0,0.0,0.0,0.0,0.0,0.0,NaN,5.549821,-129.01013,-18.061436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.549821,-129.01013,-18.061436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10684541,0.012935987,0.9942721,-0.04071045,-0.9628906,-0.2859497,-0.022460938,-0.0078125,0.0107421875,6.376613,2.2120328,0.26781505,20.584515,-0.96691895,8.544922E-4,-0.096191406,-0.055664062,0.061523438,0.041015625,2.6915185,4.1558595,-56.531036,16.179688,0.42694092,-0.5697632,0.7885742,0.0146484375,0.043945312,0.017578125,89.23294,2.2327464,-128.31804,10.789044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7204304,-128.23012,-9.054606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1986156,44.981976,-0.7140428,
0.09374999720603236,4,-0.017150879,-0.9727783,0.36114502,-0.055664062,-0.03515625,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10433066,-0.013401832,-0.9946295,0.014221191,-0.923645,-0.40075684,-0.033203125,0.024414062,-9.765625E-4,5.750298,-2.159967,-0.27745953,-20.591915,-0.9708252,-0.10272217,-0.16821289,-0.03515625,0.026367188,0.0546875,1.5823903,2.0217104,-57.127983,-20.306139,0.0,0.0,0.0,0.0,0.0,0.0,NaN,5.5054226,-129.02496,-18.101774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5054226,-129.02496,-18.101774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10433066,0.013401832,0.9946295,-0.048034668,-0.98431396,-0.3078003,0.015625,-0.0078125,0.029296875,6.376275,2.159967,0.27745953,20.591915,-1.0,0.0087890625,-0.101379395,-0.07421875,0.080078125,0.022460938,2.698491,4.141616,-56.524025,16.22059,0.44622803,-0.5795288,0.8078613,-0.0048828125,-0.013671875,0.036132812,89.22347,2.2564738,-128.31111,10.846024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.698162,-128.22849,-9.00304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1841396,44.98642,-0.7303649,
0.11718749650754046,5,-0.017028809,-0.96118164,0.3690796,-0.11621094,0.060546875,0.047851562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10232887,-0.014655442,-0.99472004,0.017211914,-0.93634033,-0.3939209,-0.033203125,0.024414062,0.037109375,5.698495,-2.118525,-0.30341306,-20.59379,-0.9782715,-0.078186035,-0.19073486,-0.015625,0.045898438,0.036132812,1.5223856,1.9989314,-57.15865,-20.299036,0.5372925,0.39886475,0.7505493,0.0029296875,-0.0029296875,-0.02734375,91.415405,5.432231,-129.0595,-18.149422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.856276,-129.22458,-36.719482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10232887,0.014655442,0.99472004,-0.021850586,-0.9779663,-0.2952881,0.052734375,-0.0078125,0.029296875,6.421564,2.118525,0.30341306,20.59379,-0.9840698,0.0078125,-0.08880615,-0.09277344,0.061523438,0.041992188,2.6708577,4.110887,-56.497345,16.248495,0.4338379,-0.55145264,0.75372314,-0.041992188,0.043945312,0.0546875,89.282196,2.2721853,-128.28348,10.826979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6953025,-128.20224,-9.025721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1882191,44.98093,-0.78494895,
0.14062499580904855,6,-0.031066895,-0.9651489,0.39367676,-0.09667969,0.041992188,0.047851562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09896588,-0.016316343,-0.9950928,0.009033203,-0.93151855,-0.3779297,-0.0146484375,0.043945312,0.017578125,5.647363,-2.048899,-0.3377989,-20.601505,-0.9407959,-0.086242676,-0.16314697,0.0029296875,0.026367188,0.036132812,1.474721,2.0034053,-57.199833,-20.2916,0.5186157,0.4225464,0.7338257,0.00390625,0.015625,0.0087890625,91.52111,5.387678,-129.10245,-18.17113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.787596,-129.27885,-36.749928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09896588,0.016316343,0.9950928,-0.038879395,-1.0526733,-0.26904297,0.37402344,-0.029296875,0.02734375,6.290708,2.048899,0.3377989,20.601505,-0.9899292,-1.2207031E-4,-0.09869385,-0.11230469,0.09863281,0.041992188,2.3650475,3.7491484,-56.479076,16.318806,0.4290161,-0.5628052,0.7825928,-0.04296875,0.005859375,0.0546875,89.26918,1.9262984,-128.26297,10.903666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.326268,-128.18402,-8.952124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1917133,44.982155,-0.85608417,
0.16406249511055665,7,-0.03527832,-0.98236084,0.3630371,-0.15527344,0.060546875,0.048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09801534,-0.019893786,-0.9951891,0.029418945,-0.93640137,-0.40795898,-0.0146484375,0.043945312,0.017578125,5.7137113,-2.029221,-0.41186306,-20.6035,-0.9637451,-0.10308838,-0.15441895,0.022460938,0.044921875,0.036132812,1.4540075,1.9678223,-57.279278,-20.263546,0.5375366,0.41619873,0.7286377,-0.0146484375,0.015625,0.0087890625,91.44485,5.3374405,-129.18117,-18.107677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.705671,-129.37346,-36.701233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09801534,0.019893786,0.9951891,-0.123046875,-1.0418701,-0.32092285,0.76953125,0.2578125,0.064453125,5.965651,2.029221,0.41186306,20.6035,-0.9812622,0.012878418,-0.053100586,-0.13085938,0.061523438,0.0234375,1.5055821,2.8246489,-56.436813,16.475555,0.4501953,-0.5673218,0.7859497,-0.041992188,0.025390625,0.0546875,89.57932,0.95520616,-128.22527,11.048186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3569524,-128.14896,-8.812011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.266057,44.979633,-1.0238338,
0.18749999441206475,8,-0.016906738,-0.94750977,0.37506104,-0.13574219,0.060546875,0.048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.095801115,-0.02317819,-0.99523324,0.009094238,-0.9420166,-0.40386963,-0.0146484375,0.043945312,0.037109375,5.7527514,-1.9833791,-0.4798604,-20.604414,-0.9852295,-0.07562256,-0.21142578,0.022460938,0.064453125,0.0546875,1.4031874,1.969105,-57.348583,-20.239899,0.5308838,0.42388916,0.74664307,-0.052734375,0.015625,0.0087890625,91.57407,5.2677164,-129.25847,-18.125706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6185055,-129.46349,-36.725403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095801115,0.02317819,0.99523324,-0.10247803,-1.0871582,-0.21398926,0.7519531,0.4580078,0.028320312,5.650139,1.9833791,0.4798604,20.604414,-0.98010254,-0.01965332,-0.030639648,-0.15039062,0.13671875,0.024414062,0.71900505,1.8491485,-56.39017,16.68237,0.4182129,-0.5680542,0.81463623,-0.0234375,-0.013671875,0.07324219,89.94394,-0.095090866,-128.17717,11.321005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2802203,-128.10516,-8.542238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3082031,44.970276,-1.1732495,
0.21093749371357284,9,-0.04815674,-0.9678345,0.39068604,-0.115234375,0.041992188,0.06640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.092576236,-0.026586566,-0.9954453,0.032470703,-0.9219971,-0.39093018,-0.0146484375,0.06347656,0.017578125,5.786993,-1.9166157,-0.55042434,-20.608803,-0.9526367,-0.07269287,-0.18377686,0.0029296875,0.026367188,0.0546875,1.3161123,1.9961348,-57.424805,-20.206444,0.519104,0.39312744,0.7626953,-0.015625,0.015625,-0.009765625,91.67092,5.24831,-129.33752,-18.160143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.580675,-129.55624,-36.76667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092576236,0.026586566,0.9954453,0.013000488,-1.0849609,-0.12988281,0.6191406,0.20507812,0.064453125,5.4126544,1.9166157,0.55042434,20.608803,-1.0003052,0.0030517578,-0.034973145,-0.15039062,0.13671875,0.04296875,0.7372789,0.8083799,-56.321735,16.938036,0.43798828,-0.5679321,0.7822876,-0.0048828125,-0.013671875,0.053710938,90.38396,-1.0795715,-128.10757,11.594392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2962303,-128.04126,-8.267051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3411125,44.964718,-1.3256506,
