TOTAL_TIME,0m8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL_FRAMES,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SELECTED_FRAMES,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO_OF_JOINTS,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FREQUENCY,42.666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESCRIPTION,Capture 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME_STAMP,Jul-09,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Frame,Pelvis_accelX_Pelvis,Pelvis_accelY_Pelvis,Pelvis_accelZ_Pelvis,Pelvis_gyroX_Pelvis,Pelvis_gyroY_Pelvis,Pelvis_gyroZ_Pelvis,Pelvis_Joint angle_Pelvis,Pelvis_Relative pos X_Pelvis,Pelvis_Relative pos Y_Pelvis,Pelvis_Relative pos Z_Pelvis,RightPelvis_accelX_RightPelvis,RightPelvis_accelY_RightPelvis,RightPelvis_accelZ_RightPelvis,RightPelvis_gyroX_RightPelvis,RightPelvis_gyroY_RightPelvis,RightPelvis_gyroZ_RightPelvis,RightPelvis_Joint angle_RightPelvis,RightPelvis_Relative pos X_RightPelvis,RightPelvis_Relative pos Y_RightPelvis,RightPelvis_Relative pos Z_RightPelvis,RightUpLeg_accelX_RightUpLeg,RightUpLeg_accelY_RightUpLeg,RightUpLeg_accelZ_RightUpLeg,RightUpLeg_gyroX_RightUpLeg,RightUpLeg_gyroY_RightUpLeg,RightUpLeg_gyroZ_RightUpLeg,RightUpLeg_Joint angle_RightUpLeg,RightUpLeg_Relative pos X_RightUpLeg,RightUpLeg_Relative pos Y_RightUpLeg,RightUpLeg_Relative pos Z_RightUpLeg,RightLeg_accelX_RightLeg,RightLeg_accelY_RightLeg,RightLeg_accelZ_RightLeg,RightLeg_gyroX_RightLeg,RightLeg_gyroY_RightLeg,RightLeg_gyroZ_RightLeg,RightLeg_Joint angle_RightLeg,RightLeg_Relative pos X_RightLeg,RightLeg_Relative pos Y_RightLeg,RightLeg_Relative pos Z_RightLeg,RightFoot_accelX_RightFoot,RightFoot_accelY_RightFoot,RightFoot_accelZ_RightFoot,RightFoot_gyroX_RightFoot,RightFoot_gyroY_RightFoot,RightFoot_gyroZ_RightFoot,RightFoot_Joint angle_RightFoot,RightFoot_Relative pos X_RightFoot,RightFoot_Relative pos Y_RightFoot,RightFoot_Relative pos Z_RightFoot,RightFootEnd_accelX_RightFootEnd,RightFootEnd_accelY_RightFootEnd,RightFootEnd_accelZ_RightFootEnd,RightFootEnd_gyroX_RightFootEnd,RightFootEnd_gyroY_RightFootEnd,RightFootEnd_gyroZ_RightFootEnd,RightFootEnd_Joint angle_RightFootEnd,RightFootEnd_Relative pos X_RightFootEnd,RightFootEnd_Relative pos Y_RightFootEnd,RightFootEnd_Relative pos Z_RightFootEnd,LeftPelvis_accelX_LeftPelvis,LeftPelvis_accelY_LeftPelvis,LeftPelvis_accelZ_LeftPelvis,LeftPelvis_gyroX_LeftPelvis,LeftPelvis_gyroY_LeftPelvis,LeftPelvis_gyroZ_LeftPelvis,LeftPelvis_Joint angle_LeftPelvis,LeftPelvis_Relative pos X_LeftPelvis,LeftPelvis_Relative pos Y_LeftPelvis,LeftPelvis_Relative pos Z_LeftPelvis,LeftUpLeg_accelX_LeftUpLeg,LeftUpLeg_accelY_LeftUpLeg,LeftUpLeg_accelZ_LeftUpLeg,LeftUpLeg_gyroX_LeftUpLeg,LeftUpLeg_gyroY_LeftUpLeg,LeftUpLeg_gyroZ_LeftUpLeg,LeftUpLeg_Joint angle_LeftUpLeg,LeftUpLeg_Relative pos X_LeftUpLeg,LeftUpLeg_Relative pos Y_LeftUpLeg,LeftUpLeg_Relative pos Z_LeftUpLeg,LeftLeg_accelX_LeftLeg,LeftLeg_accelY_LeftLeg,LeftLeg_accelZ_LeftLeg,LeftLeg_gyroX_LeftLeg,LeftLeg_gyroY_LeftLeg,LeftLeg_gyroZ_LeftLeg,LeftLeg_Joint angle_LeftLeg,LeftLeg_Relative pos X_LeftLeg,LeftLeg_Relative pos Y_LeftLeg,LeftLeg_Relative pos Z_LeftLeg,LeftFoot_accelX_LeftFoot,LeftFoot_accelY_LeftFoot,LeftFoot_accelZ_LeftFoot,LeftFoot_gyroX_LeftFoot,LeftFoot_gyroY_LeftFoot,LeftFoot_gyroZ_LeftFoot,LeftFoot_Joint angle_LeftFoot,LeftFoot_Relative pos X_LeftFoot,LeftFoot_Relative pos Y_LeftFoot,LeftFoot_Relative pos Z_LeftFoot,LeftFootEnd_accelX_LeftFootEnd,LeftFootEnd_accelY_LeftFootEnd,LeftFootEnd_accelZ_LeftFootEnd,LeftFootEnd_gyroX_LeftFootEnd,LeftFootEnd_gyroY_LeftFootEnd,LeftFootEnd_gyroZ_LeftFootEnd,LeftFootEnd_Joint angle_LeftFootEnd,LeftFootEnd_Relative pos X_LeftFootEnd,LeftFootEnd_Relative pos Y_LeftFootEnd,LeftFootEnd_Relative pos Z_LeftFootEnd,Spine_accelX_Spine,Spine_accelY_Spine,Spine_accelZ_Spine,Spine_gyroX_Spine,Spine_gyroY_Spine,Spine_gyroZ_Spine,Spine_Joint angle_Spine,Spine_Relative pos X_Spine,Spine_Relative pos Y_Spine,Spine_Relative pos Z_Spine
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.023437499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.046874999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.070312498,3,0.033325195,-0.9074707,0.5415039,-0.7597656,0.7792969,0.34375,0,0,0,0,0,0,0,0,0,0,0,0.031223267,-0.007113613,-0.99973583,-0.9536133,-0.046813965,-0.02960205,-0.24414062,0.037109375,-0.009765625,2.626145,0.6464176,-0.14727387,-20.697632,-0.94696045,-0.07531738,-0.11859131,0.030273438,-0.080078125,0.00390625,6.383374,-0.21380037,-57.11826,-18.964993,-0.32928467,-0.5076904,0.8098755,-0.05078125,0.5029297,0.92871094,17.695309,5.0635867,-128.71579,-13.287338,0,0,0,0,0,0,0,-14.90435,-128.57495,-14.428969,0,0,0,0,0,0,0,-0.031223267,0.007113613,0.99973583,0,0,0,0,0,0,NaN,-0.6464176,0.14727387,20.697632,-0.9667969,-0.144104,-0.078430176,-0.014648438,-0.013671875,-9.77E-04,NaN,-0.6464176,0.14727387,20.697632,-0.18475342,0.5231323,0.8274536,0,0.022460938,-0.02734375,4.681739,0.089200735,-71.839386,22.410387,0,0,0,0,0,0,0,-19.900707,-72.20226,22.894981,0,0,0,0,0,0,0,2.4088655,44.946014,-0.24458057
0.093749997,4,5.49E-04,-0.86291504,0.53674316,-0.57128906,0.546875,0.30371094,0,0,0,0,0,0,0,0,0,0,0,0.02441889,-0.026889091,-0.99955904,-1.0136108,-0.12854004,-0.078125,-0.111328125,-0.002929688,0.008789063,2.8538249,0.5055466,-0.5566876,-20.693972,-1.0437012,0.012329102,-0.115600586,0.010742188,-0.0625,0.002929688,6.0871468,-0.21880662,-57.528618,-18.918503,-0.33813477,-0.5452881,0.8008423,-0.05078125,0.3125,0.4921875,16.537125,4.881991,-129.14407,-13.336552,0,0,0,0,0,0,0,-15.07259,-129.31648,-14.671394,0,0,0,0,0,0,0,-0.02441889,0.026889091,0.99955904,-0.97332764,0.028381348,-0.19348145,0.052734375,-0.0078125,0.06640625,5.414428,-0.5055466,0.5566876,20.693972,-0.9862671,-0.16821289,-0.070617676,0.0234375,-0.012695313,-0.020507812,3.7912173,-0.20000666,-56.210922,25.903217,-0.17877197,0.5152588,0.8244629,0,0.041992188,-0.02734375,4.65299,0.5534224,-128.20613,27.644215,0,0,0,0,0,0,0,-19.437342,-128.56316,28.121044,0,0,0,0,0,0,0,2.7969184,44.908398,-1.139751
0.117187497,5,0.043823242,-0.8436279,0.50598145,-0.09863281,0.21777344,0.18554688,0,0,0,0,0,0,0,0,0,0,0,0.021764666,-0.037023947,-0.99930286,-0.9834595,-0.064453125,-0.049316406,0.002929688,-0.002929688,-0.064453125,3.121987,0.45059672,-0.7665105,-20.688667,-0.96569824,7.93E-04,-0.095825195,-0.125,-0.06640625,9.77E-04,5.71028,-0.16347113,-57.73645,-18.83348,-0.35858154,-0.54119873,0.8066406,-0.111328125,-0.010742188,-0.002929688,15.888686,4.6991587,-129.38632,-13.477603,0,0,0,0,0,0,0,-15.251281,-129.66281,-14.869097,0,0,0,0,0,0,0,-0.021764666,0.037023947,0.99930286,-0.96209717,0.11682129,-0.1918335,0.09082031,-0.026367188,0.046875,5.0445747,-0.45059672,0.7665105,20.688667,-0.98095703,-0.13415527,-0.08325195,0.099609375,-0.03125,-9.77E-04,3.640563,-0.16469589,-56.008602,25.74351,-0.17572021,0.519104,0.82647705,0.07714844,0.022460938,-0.009765625,4.599981,0.60473776,-127.99959,27.50606,0,0,0,0,0,0,0,-19.386263,-128.34755,27.974394,0,0,0,0,0,0,0,2.93148,44.886093,-1.5991724
0.140624996,6,0.03540039,-0.8914795,0.5316162,0.051757812,-0.052734375,0.03515625,0,0,0,0,0,0,0,0,0,0,0,0.0247311,-0.036987748,-0.9992359,-0.99664307,-0.04748535,0.00769043,0.004882813,0.053710938,-0.046875,2.9670231,0.512011,-0.7657611,-20.68728,-0.9925537,0.029846191,-0.0871582,-0.06640625,-0.1015625,0.021484375,5.403052,-0.096322656,-57.73595,-18.769323,-0.36883545,-0.5401001,0.80859375,-0.055664062,-0.049804688,-0.021484375,15.409974,4.45822,-129.4176,-13.578115,0,0,0,0,0,0,0,-15.490356,-129.687,-14.991916,0,0,0,0,0,0,0,-0.0247311,0.036987748,0.9992359,-0.9777832,0.1416626,-0.18640137,-0.022460938,-0.043945312,0.010742188,4.678181,-0.512011,0.7657611,20.68728,-1.000061,-0.08355713,-0.0647583,0.061523438,-0.06933594,-0.020507812,3.413231,-0.30058008,-56.03568,25.433659,-0.18774414,0.52301025,0.84124756,0.07910156,-0.015625,-0.009765625,4.3998394,0.38251752,-128.02942,27.11565,0,0,0,0,0,0,0,-19.60703,-128.34076,27.59993,0,0,0,0,0,0,0,2.8079045,44.89427,-1.5923121
0.164062495,7,0.014831543,-0.8665161,0.55029297,-0.004882813,-0.08984375,-0.020507812,0,0,0,0,0,0,0,0,0,0,0,0.028774261,-0.034043737,-0.99923843,-1.0169067,-0.051818848,0.002868652,0.0390625,-0.080078125,-0.008789063,2.8460631,0.59571743,-0.7048109,-20.687336,-1.0037842,-0.018127441,-0.07354736,-0.0078125,-0.06347656,0.022460938,5.211016,-0.06733817,-57.67085,-18.710402,-0.37506104,-0.54693604,0.805603,-0.07519531,-0.06933594,-0.002929688,14.899073,4.23675,-129.38039,-13.636843,0,0,0,0,0,0,0,-15.710932,-129.64223,-15.069576,0,0,0,0,0,0,0,-0.028774261,0.034043737,0.99923843,-0.98254395,0.16040039,-0.17132568,-0.13574219,-0.04296875,-0.026367188,4.433189,-0.59571743,0.7048109,20.687336,-0.9949951,-0.08654785,-0.05883789,-0.10839844,-0.109375,-0.020507812,3.164897,-0.50083065,-56.128525,25.09275,-0.18249512,0.57037354,0.79522705,0.037109375,0.061523438,-0.02734375,4.1681905,-0.029372215,-128.12408,26.657322,0,0,0,0,0,0,0,-20.019936,-128.4032,27.159225,0,0,0,0,0,0,0,2.7550678,44.90263,-1.4504827
0.187499994,8,0.035949707,-0.8577881,0.5338745,-0.04296875,-0.12890625,-0.038085938,0,0,0,0,0,0,0,0,0,0,0,0.03237003,-0.031723585,-0.9992329,-0.9769287,-0.096191406,-0.011535645,0.1328125,-0.13867188,0.010742188,2.7857938,0.6701607,-0.65677655,-20.68722,-0.994751,-0.018188477,-0.068481445,0.030273438,-0.043945312,0.022460938,5.064808,-0.07449776,-57.615765,-18.474945,-0.37017822,-0.5549927,0.8085327,-0.0546875,-0.030273438,-0.021484375,14.490491,4.0618,-129.33524,-13.472873,0,0,0,0,0,0,0,-15.884882,-129.59097,-14.940474,0,0,0,0,0,0,0,-0.03237003,0.031723585,0.9992329,-0.96698,0.12158203,-0.15319824,-0.2109375,-0.115234375,-0.044921875,4.0718875,-0.6701607,0.65677655,20.68722,-0.98205566,-0.1217041,-0.05126953,-0.10839844,-0.07128906,-0.020507812,2.9997003,-0.89122885,-56.199074,24.804926,-0.16564941,0.53289795,0.80981445,0.038085938,0.041992188,-0.008789063,4.0791435,-0.6155832,-128.19958,26.315042,0,0,0,0,0,0,0,-20.607384,-128.47081,26.826675,0,0,0,0,0,0,0,2.73658,44.908546,-1.3371025
0.210937494,9,0.028747559,-0.8584595,0.52612305,-0.04296875,-0.051757812,-0.01953125,0,0,0,0,0,0,0,0,0,0,0,0.03516671,-0.030751696,-0.999161,-0.99401855,-0.056030273,-0.012329102,0.13574219,-0.04296875,-0.008789063,2.8711944,0.72805977,-0.63665545,-20.68573,-1.0076904,0.00402832,-0.057678223,0.010742188,-0.043945312,0.022460938,4.865545,-0.044390976,-57.590256,-18.354532,-0.2919922,-0.54486084,0.7960205,-0.016601562,0.006835938,0.016601562,14.0974245,3.8648822,-129.33023,-13.422123,0,0,0,0,0,0,0,-16.079742,-129.57819,-14.894027,0,0,0,0,0,0,0,-0.03516671,0.030751696,0.999161,-0.9838867,0.057861328,-0.14263916,-0.15429688,-0.09765625,-0.0078125,3.9190161,-0.72805977,0.63665545,20.68573,-0.99542236,-0.13922119,-0.026428223,-0.013671875,-0.051757812,-0.020507812,2.97618,-1.1879289,-56.224537,24.702202,-0.15753174,0.54345703,0.8147583,0,0.022460938,-0.008789063,3.9000325,-1.028213,-128.2248,26.20924,0,0,0,0,0,0,0,-21.021683,-128.48099,26.73848,0,0,0,0,0,0,0,2.7945294,44.906185,-1.2837441
