Field,Time,LANK:X,LANK:Y,LANK:Z,LKNE:X,LKNE:Y,LKNE:Z,LTHI:X,LTHI:Y,LTHI:Z,LTOE:X,LTOE:Y,LTOE:Z,SACR:X,SACR:Y,SACR:Z,RANK:X,RANK:Y,RANK:Z,RASI:X,RASI:Y,RASI:Z,LTIB:X,LTIB:Y,LTIB:Z,LASI:X,LASI:Y,LASI:Z,RTHI:X,RTHI:Y,RTHI:Z,RTOE:X,RTOE:Y,RTOE:Z,RKNE:X,RKNE:Y,RKNE:Z,RTIB:X,RTIB:Y,RTIB:Z,LHEE:X,LHEE:Y,LHEE:Z,RHEE:X,RHEE:Y,RHEE:Z
1,0,,,,,,,,,,,,,-1659.5,288.99,1156.7,-1686.5,235.52,93.748,,,,-1491.2,494.78,234.58,,,,,,,-1536.2,241.54,55.485,,,,-1670.1,167.86,205.78,,,,-1742.6,293.58,77.004
2,0.01,,,,,,,,,,,,,-1646.4,290.28,1152.6,-1686,236.4,93.93,,,,-1451,494.86,231.39,,,,,,,-1536.4,241.32,55.603,,,,-1669.9,167.98,205.73,,,,-1741.9,294.55,77.191
3,0.02,,,,,,,,,,,,,-1633,291.53,1148.6,-1685.6,237.19,94.169,,,,-1411.2,494.71,228.55,,,,-1581.6,112.37,685.08,-1536.6,241.14,55.71,,,,-1669.4,168.07,205.7,,,,-1741.2,295.42,77.483
4,0.03,,,,,,,,,,-1249.2,430.22,73.683,-1619.3,292.76,1144.5,-1685.2,237.9,94.463,,,,-1372,494.35,226.08,,,,-1574.4,111.63,683.92,-1536.7,240.99,55.804,,,,-1668.8,168.13,205.69,,,,-1740.7,296.19,77.88
5,0.04,,,,,,,,,,-1200.1,429.11,78.59,-1605.4,293.96,1140.4,-1684.8,238.53,94.815,,,,-1333.2,493.76,223.96,,,,-1566.9,110.91,682.76,-1536.9,240.88,55.887,,,,-1667.9,168.16,205.71,,,,-1740.1,296.85,78.386
6,0.05,,,,-1277.9,449.01,587.47,,,,-1152.7,427.5,83.868,-1591.2,295.12,1136.3,-1684.4,239.07,95.226,,,,-1295.1,492.95,222.17,,,,-1559.1,110.21,681.58,-1537,240.79,55.96,,,,-1666.8,168.16,205.75,,,,-1739.7,297.4,79.007
7,0.06,,,,-1261.3,448.59,582.86,,,,-1107,425.39,89.503,-1576.8,296.25,1132.3,-1684,239.51,95.701,,,,-1257.7,491.92,220.71,,,,-1551,109.54,680.39,-1537.1,240.74,56.025,,,,-1665.5,168.13,205.83,,,,-1739.3,297.83,79.755
8,0.07,,,,-1244.3,448.03,578.55,-1273.7,499.24,659.11,-1062.9,422.8,95.453,-1562,297.35,1128.3,-1683.6,239.85,96.247,,,,-1221,490.68,219.53,,,,-1542.6,108.89,679.18,-1537.1,240.72,56.082,,,,-1664,168.05,205.96,,,,-1738.9,298.14,80.648
9,0.08,,,,-1226.9,447.3,574.52,-1256.9,499.27,653.68,-1020.6,419.75,101.64,-1547.1,298.4,1124.3,-1683.2,240.08,96.878,,,,-1185.2,489.22,218.58,,,,-1533.8,108.27,677.97,-1537.1,240.71,56.132,,,,-1662.2,167.92,206.17,,,,-1738.6,298.32,81.713
10,0.09,,,,-1209.2,446.41,570.78,-1239.6,499.03,648.76,-980.15,416.29,107.93,-1531.8,299.42,1120.3,-1682.8,240.19,97.612,,,,-1150.4,487.54,217.81,,,,-1524.7,107.67,676.76,-1537.1,240.71,56.176,,,,-1660.3,167.73,206.48,,,,-1738.4,298.34,82.985
11,0.1,,,,-1191.2,445.37,567.33,-1221.8,498.53,644.35,-941.61,412.46,114.14,-1516.4,300.39,1116.4,-1682.4,240.15,98.477,,,,-1116.8,485.66,217.15,,,,-1515.2,107.1,675.54,-1536.9,240.71,56.21,,,,-1658.2,167.46,206.92,,,,-1738.3,298.2,84.51
12,0.11,,,,-1172.8,444.17,564.18,-1203.6,497.76,640.45,-905.17,408.33,120.04,-1500.6,301.32,1112.6,-1681.9,239.95,99.508,,,,-1084.6,483.58,216.55,,,,-1505.3,106.56,674.33,-1536.6,240.7,56.229,,,,-1655.8,167.1,207.55,,,,-1738.2,297.88,86.343
13,0.12,,,,-1154.1,442.81,561.33,-1184.9,496.73,637.06,-870.95,404,125.38,-1484.6,302.19,1108.8,-1681.3,239.58,100.75,,,,-1053.9,481.3,215.93,,,,-1495,106.05,673.11,-1536.3,240.67,56.227,,,,-1653.3,166.63,208.39,,,,-1738.1,297.36,88.547
14,0.13,,,,-1135.1,441.29,558.79,-1165.8,495.45,634.17,-839.12,399.56,129.86,-1468.4,303,1105.2,-1680.6,239.02,102.25,,,,-1024.9,478.84,215.23,,,,-1484.2,105.58,671.9,-1535.9,240.58,56.191,,,,-1650.4,166.05,209.51,-1016.5,367.51,77.5,-1738,296.63,91.191
15,0.14,,,,-1115.8,439.62,556.57,-1146.2,493.93,631.78,-809.81,395.09,133.23,-1451.9,303.75,1101.8,-1679.8,238.25,104.07,,,,-997.55,476.21,214.4,,,,-1473,105.15,670.7,-1535.4,240.45,56.11,,,,-1647.3,165.33,210.94,-987.56,361.81,73.357,-1737.7,295.68,94.349
16,0.15,,,,-1096.1,437.79,554.67,-1126.3,492.17,629.86,-783.12,390.7,135.23,-1435.2,304.43,1098.5,-1678.8,237.25,106.28,,,,-972.03,473.43,213.42,,,,-1461.2,104.76,669.5,-1534.9,240.26,55.969,,,,-1643.9,164.46,212.73,-961.38,356.56,69.62,-1737.3,294.49,98.092
17,0.16,,,,-1076.3,435.82,553.09,-1106,490.2,628.42,-759.11,386.47,135.7,-1418.2,305.04,1095.4,-1677.5,236.02,108.94,,,,-948.32,470.53,212.27,,,,-1448.8,104.42,668.29,-1534.5,240,55.756,,,,-1640,163.44,214.92,-937.93,351.77,66.291,-1736.6,293.04,102.49
18,0.17,,,,-1056.2,433.71,551.85,-1085.4,488.04,627.42,-737.79,382.48,134.53,-1401.1,305.57,1092.6,-1675.9,234.54,112.11,,,,-926.39,467.53,210.95,,,,-1435.8,104.13,667.06,-1534.2,239.68,55.465,,,,-1635.7,162.26,217.54,-917.21,347.42,63.379,-1735.5,291.34,107.6
19,0.18,,,,-1036,431.48,550.93,-1064.7,485.71,626.84,-719.11,378.78,131.71,-1383.7,306.03,1090,-1673.9,232.82,115.85,,,,-906.16,464.47,209.49,,,,-1422.1,103.89,665.81,-1534,239.31,55.093,,,,-1630.8,160.91,220.61,-899.17,343.54,60.901,-1733.9,289.38,113.46
20,0.19,,,,-1015.6,429.14,550.34,-1043.7,483.26,626.65,-702.97,375.41,127.32,-1366.2,306.4,1087.8,-1671.4,230.84,120.2,,,,-887.55,461.39,207.92,,,,-1407.6,103.71,664.52,-1533.9,238.91,54.651,,,,-1625.2,159.4,224.14,-883.72,340.13,58.877,-1731.5,287.14,120.1
21,0.2,,,,-995.28,426.72,550.07,-1022.8,480.71,626.82,-689.22,372.38,121.54,-1348.6,306.7,1085.8,-1668.2,228.61,125.2,,,,-870.43,458.32,206.3,,,,-1392.3,103.58,663.19,-1534,238.49,54.16,,,,-1618.7,157.72,228.1,-870.77,337.2,57.33,-1728.2,284.64,127.53
22,0.21,,,,-974.98,424.23,550.08,-1001.9,478.1,627.3,-677.67,369.71,114.63,-1330.8,306.92,1084.2,-1664.3,226.15,130.85,,,,-854.69,455.31,204.68,,,,-1376.3,103.5,661.78,-1534.3,238.09,53.657,,,,-1611.3,155.9,232.48,-860.14,334.75,56.281,-1723.9,281.88,135.71
23,0.22,-816.81,392.41,88.05,-954.82,421.7,550.37,-981.15,475.49,628.04,-668.1,367.38,106.92,-1312.9,307.07,1083,-1659.4,223.46,137.15,,,,-840.2,452.41,203.12,,,,-1359.3,103.48,660.31,-1534.6,237.73,53.191,,,,-1602.9,153.93,237.21,-851.67,332.77,55.74,-1718.4,278.86,144.59
24,0.23,-809.69,391.22,88.402,-934.92,419.17,550.9,-960.69,472.89,629,-660.29,365.36,98.752,-1295,307.15,1082.2,-1653.4,220.58,144.05,,,,-826.86,449.64,201.67,,,,-1341.6,103.52,658.75,-1534.7,237.42,52.826,,,,-1593.2,151.85,242.25,-845.13,331.27,55.7,-1711.5,275.62,154.09
25,0.24,-803.24,390.13,88.714,-915.36,416.67,551.63,-940.62,470.37,630.12,-653.99,363.63,90.507,-1277,307.16,1081.7,-1646.2,217.53,151.48,,,,-814.58,447.06,200.36,,,,-1322.9,103.6,657.12,-1534.6,237.17,52.632,,,,-1582.1,149.66,247.51,-840.28,330.21,56.136,-1703,272.17,164.09
26,0.25,-797.46,389.12,88.985,-896.26,414.24,552.53,-921.04,467.97,631.36,-648.98,362.16,82.532,-1259,307.13,1081.6,-1637.6,214.35,159.34,,,,-803.3,444.69,199.24,,,,-1303.4,103.72,655.41,-1533.8,236.97,52.685,,,,-1569.7,147.39,252.91,-836.87,329.56,56.998,-1693,268.55,174.46
27,0.26,-792.34,388.19,89.217,-877.72,411.9,553.55,-902.05,465.71,632.67,-645.05,360.91,75.131,-1241,307.04,1081.9,-1627.5,211.08,167.52,,,,-792.99,442.57,198.29,,,,-1283.2,103.89,653.64,-1532.2,236.82,53.056,,,,-1555.6,145.08,258.35,-834.63,329.27,58.218,-1681.2,264.81,185.03
