Field,Time,LANK:X,LANK:Y,LANK:Z,LKNE:X,LKNE:Y,LKNE:Z,LTHI:X,LTHI:Y,LTHI:Z,LTOE:X,LTOE:Y,LTOE:Z,SACR:X,SACR:Y,SACR:Z,RANK:X,RANK:Y,RANK:Z,RASI:X,RASI:Y,RASI:Z,LTIB:X,LTIB:Y,LTIB:Z,LASI:X,LASI:Y,LASI:Z,RTHI:X,RTHI:Y,RTHI:Z,RTOE:X,RTOE:Y,RTOE:Z,RKNE:X,RKNE:Y,RKNE:Z,RTIB:X,RTIB:Y,RTIB:Z,LHEE:X,LHEE:Y,LHEE:Z,RHEE:X,RHEE:Y,RHEE:Z
1,0,-1116.2,433.58,220.76,-801.25,483.7,435.33,-816.09,532.05,537.46,-1070.1,423.24,94.391,-942.1,312.67,947.61,-821.66,247.93,79.102,-719.18,226.98,889.8,-1026.8,492.46,266.34,,,,-760.85,134.66,563.28,-685.23,262.68,43.531,-748.05,200.78,458.35,-797.46,188.19,156.77,-1157.7,393.36,251.4,-864.71,294.7,60.44
2,0.01,-1080.5,432.59,213.87,-770.51,484.28,441.96,-790.53,532.61,542.46,-1026.9,422.19,90.888,-927.8,312.68,949.56,-822.03,247.89,78.93,-704.94,225.33,890.82,-992.08,491.83,262.98,,,,-756.21,134.2,563.85,-685.26,262.84,43.316,-745.55,199.95,458.21,-797.92,187.59,156.92,-1123.8,392.23,242.63,-865.02,294.28,60.803
3,0.02,-1043.7,431.8,206.24,-740.7,484.78,448.15,-765.31,533.23,547.22,-982.72,421.46,87.121,-913.43,312.87,951.19,-822.26,247.87,78.882,-690.78,223.76,891.53,-956.77,491.33,259.03,,,,-751.4,133.83,564.35,-685.26,262.9,43.149,-743.01,199.21,458.11,-798.33,187.15,157.14,-1088.5,391.24,232.81,-865.23,294.05,61.251
4,0.03,-1005.8,431.22,197.87,-711.85,485.2,453.88,-740.44,533.92,551.76,-937.61,421.06,83.098,-899,313.23,952.49,-822.34,247.84,78.96,-676.71,222.27,891.91,-920.8,490.94,254.49,,,,-746.41,133.56,564.75,-685.23,262.88,43.029,-740.41,198.55,458.04,-798.72,186.86,157.44,-1052,390.41,221.96,-865.34,293.99,61.784
5,0.04,-966.79,430.86,188.8,-683.96,485.53,459.16,-715.93,534.66,556.04,-891.56,420.97,78.85,-884.49,313.78,953.47,-822.27,247.83,79.161,-662.73,220.86,891.97,-884.2,490.69,249.41,,,,-741.25,133.39,565.08,-685.18,262.76,42.954,-737.74,197.98,458.01,-799.06,186.74,157.82,-1014.2,389.73,210.12,-865.34,294.12,62.401
6,0.05,-926.71,430.71,179.09,-657.04,485.77,463.95,-691.81,535.45,560.04,-844.59,421.2,74.434,-869.93,314.5,954.13,-822.07,247.84,79.485,-648.82,219.54,891.71,-846.96,490.59,243.82,,,,-735.92,133.31,565.32,-685.09,262.57,42.92,-735,197.51,458.02,-799.35,186.76,158.27,-975.16,389.23,197.36,-865.24,294.42,63.101
7,0.06,-885.5,430.81,168.83,-631.11,485.92,468.23,-668.11,536.27,563.72,-796.72,421.75,69.948,-855.29,315.41,954.46,-821.74,247.88,79.93,-634.98,218.3,891.14,-809.13,490.65,237.81,,,,-730.4,133.32,565.47,-684.98,262.31,42.92,-732.15,197.12,458.06,-799.57,186.93,158.8,-934.75,388.93,183.8,-865.02,294.87,63.885
8,0.07,-843.17,431.17,158.18,-606.19,485.97,471.96,-644.9,537.1,567,-748,422.6,65.533,-840.58,316.49,954.49,-821.31,247.96,80.495,-621.21,217.14,890.27,-770.73,490.9,231.5,,,,-724.69,133.42,565.55,-684.83,262,42.947,-729.16,196.84,458.12,-799.68,187.21,159.41,-892.98,388.86,169.63,-864.69,295.48,64.754
9,0.08,-799.73,431.83,147.32,-582.32,485.94,475.1,-622.24,537.9,569.8,-698.49,423.78,61.377,-825.8,317.75,954.2,-820.78,248.1,81.18,-607.48,216.08,889.12,-731.83,491.37,225.03,,,,-718.77,133.61,565.55,-684.66,261.67,42.99,-725.99,196.66,458.21,-799.67,187.61,160.1,-849.84,389.07,155.1,-864.23,296.22,65.715
10,0.09,-755.2,432.83,136.51,-559.51,485.82,477.6,-600.22,538.66,572.03,-648.26,425.3,57.705,-810.94,319.18,953.63,-820.17,248.32,81.986,-593.78,215.11,887.7,-692.53,492.11,218.58,,,,-712.65,133.87,565.49,-684.44,261.35,43.036,-722.57,196.6,458.32,-799.51,188.09,160.88,-805.34,389.62,140.48,-863.66,297.07,66.779
