Field,Time,LANK:X,LANK:Y,LANK:Z,LKNE:X,LKNE:Y,LKNE:Z,LTHI:X,LTHI:Y,LTHI:Z,LTOE:X,LTOE:Y,LTOE:Z,SACR:X,SACR:Y,SACR:Z,RANK:X,RANK:Y,RANK:Z,RASI:X,RASI:Y,RASI:Z,LTIB:X,LTIB:Y,LTIB:Z,LASI:X,LASI:Y,LASI:Z,RTHI:X,RTHI:Y,RTHI:Z,RTOE:X,RTOE:Y,RTOE:Z,RKNE:X,RKNE:Y,RKNE:Z,RTIB:X,RTIB:Y,RTIB:Z,LHEE:X,LHEE:Y,LHEE:Z,RHEE:X,RHEE:Y,RHEE:Z
1,0,1979.3,74.205,63.801,1904,44.935,481.42,1896.6,-8.1808,594.16,1853.5,115.08,21.918,1945.5,200.24,1012.2,1813.5,322.71,104.09,,,,1963,20.034,166.92,,,,1704.6,398.22,591.43,1706.8,320.61,48.216,1677.2,347.07,508.69,1781.2,371.84,220.42,2038.7,108.62,43.741,1869.6,257.27,101.44
2,0.01,1979.1,74.502,65.401,1901,45.275,482.59,1891,-8.0083,594.73,1853.6,114.86,21.836,1932.4,201.23,1010,1766.3,325.17,93.649,,,,1962.5,20.124,168.63,,,,1689.4,397.62,591.44,1656.1,323.52,46.387,1662.3,347.07,507.64,1744.2,373.56,212.31,2038.4,109.38,46.073,1821.3,259.57,87.034
3,0.02,1978.8,74.856,67.077,1897.5,45.69,483.7,1885.1,-7.7655,595.32,1853.7,114.47,21.764,1919.1,202.27,1007.8,1719.2,327.51,85.179,,,,1961.9,20.343,170.45,,,,1675,397.09,590.55,1606.2,325.69,46.514,1647.8,347.06,506.12,1707.3,375.29,205.51,2037.9,110.25,48.491,1773.5,262.01,74.594
4,0.03,1978.5,75.268,68.829,1893.4,46.183,484.74,1879,-7.4513,595.93,1853.8,113.89,21.703,1905.5,203.37,1005.5,1672.5,329.73,78.682,,,,1961.3,20.689,172.38,,,,1661.5,396.61,588.79,1557.1,327.09,48.581,1633.6,347.07,504.15,1670.5,377.01,200.03,2037.4,111.24,50.995,1726.2,264.59,64.116
5,0.04,1978.1,75.738,70.654,1888.8,46.754,485.7,1872.6,-7.0621,596.55,1853.9,113.19,21.652,1891.7,204.51,1003.1,1626.3,331.8,74.145,,,,1960.7,21.158,174.42,,,,1648.8,396.19,586.19,1509.2,327.72,52.536,1619.8,347.07,501.75,1633.9,378.69,195.86,2036.8,112.32,53.583,1679.6,267.25,55.579
6,0.05,1977.7,76.265,72.549,1883.7,47.406,486.58,1866,-6.5932,597.17,1853.9,112.42,21.611,1877.6,205.71,1000.6,1580.8,333.7,71.506,,,,1959.9,21.737,176.54,,,,1636.8,395.83,582.84,1462.6,327.56,58.246,1606.2,347.06,498.97,1597.8,380.29,192.98,2036.2,113.49,56.257,1634,269.95,48.92
7,0.06,1977.2,76.845,74.512,1878,48.134,487.36,1859,-6.0403,597.78,1854,111.68,21.582,1863.2,206.94,998.03,1536.6,335.36,70.616,,,,1959,22.408,178.74,,,,1625.2,395.52,578.88,1417.7,326.67,65.449,1592.8,347.02,495.87,1562.4,381.73,191.3,2035.4,114.7,59.015,1589.8,272.56,44.013
8,0.07,1976.5,77.47,76.542,1871.7,48.925,488.04,1851.5,-5.4027,598.36,1854,111.04,21.571,1848.6,208.22,995.41,1494.2,336.69,71.206,,,,1957.8,23.147,181,,,,1613.8,395.25,574.48,1375.2,325.15,73.713,1579.4,346.94,492.55,1528.1,382.93,190.65,2034.6,115.94,61.862,1547.6,274.97,40.642
9,0.08,1975.7,78.128,78.639,1864.7,49.755,488.6,1843.6,-4.6874,598.88,1853.9,110.57,21.582,1833.8,209.52,992.75,1454.5,337.62,72.87,,,,1956.3,23.921,183.28,,,,1602.2,394.99,569.87,1335.7,323.21,82.423,1565.9,346.79,489.12,1495.6,383.83,190.78,2033.6,117.15,64.811,1508,277.01,38.505
10,0.09,1974.8,78.803,80.804,1857,50.588,489.03,1835.1,-3.9115,599.3,1853.8,110.27,21.621,1818.7,210.84,990.08,1418,338.06,75.086,,,,1954.3,24.698,185.56,,,,1590.3,394.73,565.26,1299.7,321.04,90.82,1552.1,346.57,485.69,1465.2,384.33,191.32,2032.6,118.3,67.886,1471.6,278.5,37.23
