Field,Time,LANK:X,LANK:Y,LANK:Z,LKNE:X,LKNE:Y,LKNE:Z,LTHI:X,LTHI:Y,LTHI:Z,LTOE:X,LTOE:Y,LTOE:Z,SACR:X,SACR:Y,SACR:Z,RANK:X,RANK:Y,RANK:Z,RASI:X,RASI:Y,RASI:Z,LTIB:X,LTIB:Y,LTIB:Z,LASI:X,LASI:Y,LASI:Z,RTHI:X,RTHI:Y,RTHI:Z,RTOE:X,RTOE:Y,RTOE:Z,RKNE:X,RKNE:Y,RKNE:Z,RTIB:X,RTIB:Y,RTIB:Z,LHEE:X,LHEE:Y,LHEE:Z,RHEE:X,RHEE:Y,RHEE:Z
1,0,1994.8,237.55,58.458,1893.8,184.86,488.01,1887.1,127.58,570.72,1879.8,261.04,36.815,1966.5,287.69,997.67,1740.5,392.7,86.854,1769.3,385.55,947.1,1966.7,188.32,142.3,,,,1680,465.33,605.12,1614.5,407.17,55.567,1659,418.68,531.42,1735.9,439.47,187.74,2048.6,274.64,50.435,1776.1,339.43,66.05
2,0.01,1994.2,237.69,58.531,1885.6,184.74,485.95,1875.5,127.63,567.93,1879.9,261.24,36.583,1951.4,289.6,992.97,1692.7,391.77,83.66,1753.5,385.62,941.4,1964.3,188.75,141.13,,,,1663.1,464.23,601.2,1566.7,404.67,57.941,1641.7,417.82,527.25,1694.6,438.43,183.61,2047.9,275.05,50.592,1727.3,338.65,60.26
3,0.02,1993.6,237.9,58.616,1877.3,184.62,484.01,1864.3,127.63,565.37,1879.9,261.41,36.422,1936,291.43,988.51,1646.6,390.78,81.033,1737.4,385.66,936,1961.9,189.12,140.24,,,,1646.6,463.22,596.99,1520.3,402.01,61.199,1624.7,416.99,523,1654.7,437.39,179.94,2047.2,275.41,51.062,1680.1,337.88,55.146
4,0.03,1993.2,238.18,58.722,1868.8,184.5,482.19,1853.5,127.57,563.02,1879.7,261.56,36.332,1920.3,293.19,984.31,1602.3,389.71,78.962,1721,385.68,930.9,1959.4,189.42,139.63,,,,1630.6,462.3,592.52,1475.4,399.2,65.316,1608,416.19,518.7,1616.2,436.36,176.73,2046.6,275.74,51.849,1634.4,337.13,50.703
5,0.04,1992.8,238.53,58.868,1860.2,184.39,480.49,1843,127.47,560.89,1879.5,261.66,36.314,1904.4,294.88,980.35,1559.7,388.57,77.421,1704.3,385.66,926.1,1956.9,189.65,139.29,,,,1615.1,461.47,587.79,1432,396.23,70.221,1591.6,415.4,514.36,1579.1,435.33,173.96,2045.9,276.04,52.959,1590.3,336.37,46.91
6,0.05,1992.5,238.91,59.098,1851.4,184.27,478.9,1832.8,127.32,558.97,1879.2,261.73,36.367,1888.2,296.5,976.65,1518.9,387.36,76.354,1687.4,385.62,921.6,1954.4,189.82,139.25,,,,1599.9,460.71,582.84,1390.4,393.11,75.773,1575.4,414.63,509.99,1543.5,434.29,171.6,2045.2,276.28,54.411,1548,335.6,43.731
7,0.06,1992.3,239.31,59.477,1842.3,184.16,477.42,1822.8,127.13,557.26,1878.7,261.76,36.489,1871.7,298.04,973.2,1480.1,386.05,75.681,1670.2,385.55,917.41,1951.8,189.92,139.5,,,,1585,460.02,577.74,1350.6,389.81,81.749,1559.4,413.87,505.65,1509.4,433.23,169.6,2044.5,276.49,56.23,1507.6,334.79,41.112
8,0.07,1992,239.68,60.095,1833,184.05,476.02,1812.9,126.93,555.75,1878.1,261.73,36.673,1855,299.5,970.02,1443.5,384.65,75.295,1652.7,385.45,913.54,1949.2,189.94,140.08,,,,1570.3,459.38,572.58,1312.9,386.36,87.836,1543.5,413.09,501.39,1477,432.13,167.89,2043.8,276.63,58.454,1469.3,333.9,38.982
9,0.08,1991.6,239.96,61.056,1823.3,183.95,474.68,1803,126.73,554.4,1877.4,261.63,36.905,1838,300.89,967.1,1409.1,383.15,75.069,1635,385.34,910.02,1946.5,189.89,140.99,,,,1555.6,458.75,567.49,1277.7,382.74,93.649,1527.6,412.3,497.3,1446.4,430.98,166.42,2043.1,276.7,61.135,1433.6,332.92,37.258
10,0.09,1991.1,240.09,62.477,1813.2,183.86,473.38,1792.9,126.55,553.19,1876.5,261.45,37.161,1820.8,302.19,964.46,1377.3,381.54,74.876,1617.1,385.21,906.86,1943.8,189.75,142.28,,,,1540.8,458.13,562.6,1245.1,378.99,98.76,1511.7,411.46,493.45,1417.7,429.77,165.09,2042.3,276.66,64.332,1400.7,331.84,35.861
11,0.1,1990.4,240.01,64.466,1802.5,183.76,472.1,1782.4,126.42,552.07,1875.6,261.17,37.407,1803.4,303.39,962.1,1348.1,379.84,74.596,1599,385.08,904.08,1940.9,189.48,143.99,,,,1525.6,457.47,558.08,1215.6,375.14,102.74,1495.6,410.56,489.96,1391,428.49,163.87,2041.4,276.47,68.111,1370.9,330.64,34.717
12,0.11,1989.3,239.65,67.115,1791.2,183.66,470.79,1771.4,126.36,550.99,1874.6,260.79,37.6,1785.8,304.51,960.05,1321.9,378.05,74.135,1580.7,384.94,901.72,1937.8,189.06,146.17,,,,1509.8,456.75,554.11,1189.2,371.25,105.22,1479.2,409.59,486.93,1366.3,427.14,162.69,2040.3,276.07,72.542,1344.5,329.36,33.773
13,0.12,1987.7,238.95,70.487,1779,183.54,469.42,1759.6,126.36,549.9,1873.6,260.3,37.697,1768,305.52,958.3,1298.6,376.2,73.434,1562.3,384.83,899.79,1934.3,188.44,148.85,,,,1493.4,455.96,550.83,1166.1,367.39,105.92,1462.4,408.53,484.44,1343.8,425.71,161.55,2038.8,275.4,77.689,1321.7,328.02,33
14,0.13,1985.6,237.85,74.606,1765.8,183.39,467.98,1746.8,126.45,548.75,1872.7,259.69,37.654,1750.1,306.43,956.88,1278.4,374.33,72.48,1543.9,384.74,898.32,1930.4,187.54,152.08,,,,1476.3,455.09,548.39,1146.3,363.66,104.71,1445.3,407.38,482.58,1323.4,424.24,160.44,2036.7,274.35,83.607,1302.5,326.67,32.393
