Field,Time,LANK:X,LANK:Y,LANK:Z,LKNE:X,LKNE:Y,LKNE:Z,LTHI:X,LTHI:Y,LTHI:Z,LTOE:X,LTOE:Y,LTOE:Z,SACR:X,SACR:Y,SACR:Z,RANK:X,RANK:Y,RANK:Z,RASI:X,RASI:Y,RASI:Z,LTIB:X,LTIB:Y,LTIB:Z,LASI:X,LASI:Y,LASI:Z,RTHI:X,RTHI:Y,RTHI:Z,RTOE:X,RTOE:Y,RTOE:Z,RKNE:X,RKNE:Y,RKNE:Z,RTIB:X,RTIB:Y,RTIB:Z,LHEE:X,LHEE:Y,LHEE:Z,RHEE:X,RHEE:Y,RHEE:Z
1,0,1100.1,126.66,85.168,1234.6,97.2,538.98,1270.9,42.577,610.57,954.24,143.05,89.289,1572.8,233.79,1080,1697,322.06,64.572,,,,1132.9,68.486,188.79,1359.1,126.51,1051.9,1533.8,436.36,645.06,1554.6,307.05,21.798,1549.4,375.41,516.49,1669.3,391.04,174.16,1141.5,187.29,52.281,1758.3,268.48,48.869
2,0.01,1069,130.07,85.329,1217.5,97.99,534.77,1252.7,43.198,606.73,920.91,148.03,99.01,1557.1,232.19,1075.1,1697.2,321.61,64.323,,,,1104.7,70.133,189.06,1342.6,127.13,1046.5,1525.7,436.5,643.61,1554.6,306.77,21.911,1543.6,375.19,515.45,1667.4,390.68,173.87,1108.7,190.14,51.162,1758.7,267.89,49.283
3,0.02,1040.7,133.29,85.118,1200.2,98.926,531.13,1234.4,44.026,603.48,890.89,152.53,106.15,1541.2,230.79,1070.7,1697.2,321.44,64.689,,,,1078.6,71.938,188.82,1326,127.63,1041.7,1516.8,436.56,642.26,1554.5,306.6,22.03,1536.8,374.96,514.41,1665.2,390.52,174,1079.1,192.93,50.025,1758.9,267.69,50.483
4,0.03,1015,136.31,84.542,1182.6,100.01,528.08,1215.9,45.059,600.83,864.16,156.56,110.71,1525.3,229.57,1066.8,1697,321.55,65.672,,,,1054.7,73.898,188.09,1309.4,128.03,1037.5,1507.2,436.55,641,1554.2,306.52,22.153,1528.9,374.73,513.36,1662.6,390.58,174.56,1052.7,195.64,48.878,1759,267.88,52.473
5,0.04,992.12,139.14,83.619,1164.7,101.23,525.6,1197.3,46.292,598.78,840.66,160.13,112.74,1509.2,228.55,1063.4,1696.4,321.95,67.276,,,,1032.9,76,186.91,1292.8,128.33,1033.9,1496.8,436.46,639.85,1553.8,306.54,22.272,1519.9,374.5,512.3,1659.5,390.85,175.55,1029.3,198.29,47.736,1758.8,268.46,55.263
6,0.05,971.83,141.77,82.383,1146.6,102.59,523.7,1178.5,47.717,597.32,820.28,163.24,112.34,1493,227.71,1060.4,1695.6,322.62,69.507,,,,1013.1,78.225,185.32,1276.1,128.52,1030.9,1485.6,436.3,638.77,1553.3,306.66,22.375,1509.8,374.26,511.23,1656,391.31,176.99,1009,200.84,46.627,1758.4,269.42,58.871
7,0.06,954.07,144.19,80.889,1128.3,104.09,522.37,1159.6,49.319,596.43,802.87,165.93,109.66,1476.6,227.05,1058,1694.5,323.57,72.377,,,,995.21,80.541,183.44,1259.3,128.6,1028.4,1473.5,436.07,637.78,1552.6,306.87,22.442,1498.6,374.02,510.15,1651.9,391.97,178.91,991.55,203.27,45.593,1757.7,270.72,63.325
8,0.07,938.71,146.41,79.207,1109.9,105.7,521.58,1140.6,51.075,596.1,788.18,168.21,104.95,1460.2,226.57,1056,1693,324.78,75.899,,,,978.95,82.905,181.39,1242.5,128.59,1026.6,1460.7,435.76,636.84,1552,307.15,22.449,1486.2,373.78,509.05,1647.4,392.8,181.33,976.87,205.56,44.684,1756.6,272.35,68.657
9,0.08,925.57,148.4,77.424,1091.3,107.42,521.31,1121.6,52.956,596.29,775.95,170.14,98.535,1443.7,226.25,1054.5,1690.9,326.24,80.082,,,,964.12,85.269,179.32,1225.7,128.48,1025.3,1446.9,435.37,635.94,1551.3,307.48,22.374,1472.7,373.55,507.93,1642.2,393.79,184.29,964.73,207.66,43.956,1754.8,274.26,74.901
10,0.09,914.45,150.17,75.632,1072.7,109.22,521.53,1102.6,54.927,596.96,765.85,171.76,90.844,1427.1,226.08,1053.5,1688.2,327.94,84.934,,,,950.48,87.583,177.37,1208.9,128.27,1024.5,1432.2,434.91,635.05,1550.8,307.84,22.199,1458,373.32,506.77,1636.3,394.91,187.81,954.87,209.55,43.459,1752.3,276.41,82.084
