Field,Time,LANK:X,LANK:Y,LANK:Z,LKNE:X,LKNE:Y,LKNE:Z,LTHI:X,LTHI:Y,LTHI:Z,LTOE:X,LTOE:Y,LTOE:Z,SACR:X,SACR:Y,SACR:Z,RANK:X,RANK:Y,RANK:Z,RASI:X,RASI:Y,RASI:Z,LTIB:X,LTIB:Y,LTIB:Z,LASI:X,LASI:Y,LASI:Z,RTHI:X,RTHI:Y,RTHI:Z,RTOE:X,RTOE:Y,RTOE:Z,RKNE:X,RKNE:Y,RKNE:Z,RTIB:X,RTIB:Y,RTIB:Z,LHEE:X,LHEE:Y,LHEE:Z,RHEE:X,RHEE:Y,RHEE:Z
1,0,1904.5,244.4,60.196,1835,194.55,448.55,1846.8,123.31,542.14,1773.5,272.91,32.578,,,,2182.7,410.46,232.08,,,,1863.8,190.72,154.13,,,,1898.1,513.64,538.14,2142.7,404.43,91.441,1873,465.49,432,2111.3,472.44,276.66,1958.8,279.88,44.076,2211.9,358.48,252.71
2,0.01,1904.5,244.27,60.107,1831.4,194.95,448,1840.4,124.01,542.52,1773.5,272.96,32.594,,,,2144.8,411.37,224.99,1813,433.36,864.79,1863.1,190.76,153.88,,,,1871.4,513.29,542.5,2097.5,406.19,87.257,1841.4,464.33,438.69,2076,471.75,272.23,1959,279.59,44.076,2176.5,358.2,242.94
3,0.02,1904.4,244.18,60.084,1827.8,195.33,447.46,1834,124.74,542.79,1773.6,273,32.595,,,,2106.2,412.01,217.01,1795.8,430.8,867.66,1862.6,190.81,153.7,,,,1844.9,512.96,546.64,2051.3,407.79,82.849,1810.7,463.17,444.87,2040.1,471.11,267,1959.1,279.4,44.153,2140.1,357.87,232.2
4,0.03,1904.3,244.13,60.13,1824.3,195.69,446.95,1827.7,125.5,542.95,1773.6,273.04,32.579,,,,2066.7,412.38,208.15,1778.5,428.42,870.03,1862.1,190.86,153.61,,,,1818.8,512.63,550.54,2004,409.21,78.228,1780.8,462,450.53,2003.3,470.51,260.97,1959.1,279.29,44.307,2102.4,357.51,220.49
5,0.04,1904.3,244.13,60.245,1820.8,196.03,446.45,1821.4,126.29,543.01,1773.5,273.07,32.548,,,,2026.4,412.52,198.41,1761.1,426.21,871.9,1861.6,190.93,153.61,,,,1793,512.31,554.2,1955.7,410.45,73.419,1751.8,460.84,455.68,1965.8,469.97,254.17,1959.2,279.28,44.54,2063.5,357.12,207.88
6,0.05,1904.2,244.19,60.435,1817.3,196.36,445.98,1815.3,127.1,542.96,1773.4,273.08,32.503,,,,1985.2,412.49,187.86,1743.8,424.16,873.26,1861.2,191,153.69,,,,1767.5,511.98,557.58,1906.4,411.45,68.476,1723.8,459.67,460.27,1927.6,469.5,246.67,1959.1,279.38,44.855,2023.4,356.73,194.42
7,0.06,1904,244.32,60.706,1813.9,196.68,445.53,1809.1,127.93,542.81,1773.3,273.08,32.445,,,,1943.1,412.36,176.59,1726.4,422.28,874.12,1860.8,191.1,153.85,,,,1742.3,511.66,560.64,1856.2,412.17,63.494,1696.7,458.52,464.28,1888.6,469.1,238.57,1959,279.6,45.258,1982,356.39,180.26
8,0.07,1903.9,244.54,61.069,1810.4,197,445.1,1803,128.76,542.56,1773.2,273.06,32.379,,,,1900,412.21,164.76,1708.9,420.56,874.48,1860.5,191.23,154.1,,,,1717.6,511.33,563.31,1805.2,412.59,58.616,1670.5,457.38,467.66,1848.8,468.82,230,1958.9,279.97,45.759,1939.2,356.14,165.59
9,0.08,1903.8,244.86,61.534,1806.8,197.31,444.69,1796.9,129.59,542.21,1773,273.03,32.305,,,,1855.8,412.11,152.57,1691.4,418.99,874.34,1860.2,191.41,154.43,,,,1693.3,510.99,565.51,1753.4,412.69,54.041,1645.4,456.28,470.35,1808.3,468.66,221.16,1958.7,280.5,46.371,1895.1,356.04,150.65
10,0.09,1903.6,245.31,62.117,1803.2,197.63,444.3,1790.7,130.41,541.77,1772.8,273,32.228,,,,1810.5,412.14,140.3,1673.9,417.55,873.72,1859.9,191.66,154.85,,,,1669.6,510.63,567.16,1701,412.5,50.025,1621.4,455.22,472.29,1767.2,468.66,212.26,1958.5,281.24,47.11,1849.5,356.14,135.76
11,0.1,1903.4,245.91,62.83,1799.3,197.97,443.94,1784.5,131.2,541.25,1772.6,272.97,32.15,,,,1764.2,412.37,128.27,1656.3,416.23,872.63,1859.5,192,155.36,,,,1646.6,510.25,568.14,1648.1,412.08,46.873,1598.4,454.21,473.43,1725.4,468.84,203.53,1958.1,282.18,47.996,1802.6,356.48,121.23
12,0.11,1903.2,246.66,63.686,1795.2,198.32,443.62,1778.1,131.96,540.67,1772.3,272.97,32.071,,,,1716.8,412.82,116.82,1638.6,415.01,871.09,1859.1,192.43,155.98,,,,1624.4,509.86,568.38,1594.7,411.54,44.919,1576.5,453.29,473.74,1683.3,469.2,195.24,1957.7,283.36,49.051,1754.3,357.07,107.41
13,0.12,1903,247.57,64.696,1790.9,198.7,443.33,1771.5,132.68,540.04,1772.1,272.99,31.995,,,,1668.5,413.51,106.35,1620.9,413.89,869.12,1858.6,192.96,156.7,,,,1603,509.46,567.81,1541.2,411,44.491,1555.7,452.45,473.22,1640.8,469.75,187.59,1957.3,284.77,50.298,1705,357.92,94.63
14,0.13,1902.7,248.62,65.868,1786.1,199.09,443.09,1764.6,133.35,539.38,1771.9,273.06,31.924,,,,1619.5,414.45,97.22,1603.1,412.85,866.76,1858,193.58,157.55,,,,1582.4,509.08,566.39,1487.7,410.58,45.867,1535.9,451.71,471.88,1598.4,470.47,180.8,1956.7,286.37,51.764,1654.8,359,83.172
15,0.14,1902.4,249.79,67.207,1781,199.5,442.89,1757.6,133.96,538.73,1771.7,273.17,31.865,1810.1,318.43,941.73,1570.2,415.59,89.769,1585.2,411.89,864.07,1857.2,194.27,158.53,,,,1562.8,508.74,564.12,1434.6,410.38,49.215,1516.9,451.09,469.79,1556.2,471.35,175,1956.2,288.13,53.476,1604.2,360.26,73.253
16,0.15,1902.1,251.02,68.714,1775.4,199.91,442.75,1750.2,134.52,538.1,1771.4,273.31,31.823,1792.2,322.17,937.5,1521,416.88,84.219,1567.2,410.99,861.1,1856.2,195.01,159.67,,,,1544,508.45,561.04,1382.3,410.46,54.543,1498.8,450.6,467.04,1514.7,472.35,170.27,1955.5,289.97,55.461,1553.7,361.64,64.998
17,0.16,1901.7,252.25,70.39,1769.2,200.3,442.66,1742.5,135.01,537.52,1771.1,273.46,31.808,1774.3,325.64,933.5,1472.6,418.22,80.649,1549.1,410.17,857.9,1855,195.73,160.99,,,,1526,508.26,557.27,1331.6,410.82,61.648,1481.1,450.25,463.77,1474.2,473.41,166.62,1954.8,291.8,57.751,1504.1,363.05,58.435
18,0.17,1901.2,253.42,72.241,1762.5,200.65,442.61,1734.4,135.42,537.02,1770.8,273.58,31.823,1756.3,328.84,929.7,1425.6,419.55,78.954,1530.8,409.43,854.57,1853.5,196.4,162.5,,,,1508.5,508.18,552.94,1282.8,411.39,70.098,1463.8,450.04,460.14,1435.2,474.49,163.98,1954,293.49,60.382,1456,364.44,53.492
19,0.18,1900.6,254.43,74.274,1755.1,200.95,442.59,1725.9,135.76,536.59,1770.5,273.65,31.868,1738.1,331.77,926.12,1380.9,420.78,78.828,1512.5,408.79,851.18,1851.7,196.94,164.22,,,,1491.5,508.24,548.25,1236.8,412.08,79.243,1446.6,449.99,456.35,1397.9,475.53,162.21,1953.2,294.93,63.395,1410.2,365.73,50.006
20,0.19,1899.9,255.21,76.507,1746.9,201.17,442.57,1716.8,136.03,536.25,1770,273.62,31.929,1719.9,334.43,922.75,1339.2,421.85,79.798,1494,408.26,847.82,1849.5,197.29,166.16,,,,1474.6,508.46,543.44,1194.2,412.74,88.263,1429.2,450.07,452.58,1362.7,476.5,161.15,1952.2,296,66.838,1367.4,366.87,47.752
21,0.2,1899,255.68,78.974,1737.9,201.28,442.51,1707.1,136.21,535.96,1769.5,273.48,31.981,1701.6,336.83,919.61,1301.1,422.72,81.279,1475.3,407.86,844.57,1846.9,197.41,168.33,,,,1457.6,508.85,538.74,1155.5,413.25,96.259,1411.4,450.3,449.04,1330,477.35,160.59,1951.1,296.58,70.769,1328.3,367.83,46.467
22,0.21,1897.7,255.79,81.72,1728,201.27,442.36,1696.6,136.32,535.7,1769,273.21,31.982,1683.1,338.95,916.7,1267.2,423.37,82.674,1456.6,407.62,841.53,1843.7,197.25,170.74,,,,1440.3,509.41,534.41,1121.2,413.49,102.36,1393,450.66,445.9,1299.9,478.07,160.33,1949.7,296.6,75.255,1293.4,368.6,45.885
23,0.22,1896,255.5,84.81,1717,201.13,442.07,1685.2,136.36,535.42,1768.4,272.82,31.886,1664.6,340.81,914.03,1237.7,423.82,83.482,1437.7,407.57,838.78,1839.8,196.79,173.4,,,,1422.5,510.15,530.67,1091.5,413.42,105.86,1373.9,451.13,443.3,1272.6,478.64,160.19,1947.9,296.03,80.37,1263.1,369.19,45.769
24,0.23,1893.7,254.8,88.324,1704.9,200.85,441.58,1672.8,136.34,535.04,1767.8,272.36,31.648,1646,342.4,911.63,1212.6,424.08,83.392,1418.7,407.72,836.4,1835.2,196.02,176.3,,,,1403.9,511.04,527.72,1066.4,413.03,106.32,1354,451.71,441.38,1248,479.08,160.03,1945.6,294.85,86.196,1237.4,369.62,45.933
25,0.24,1890.6,253.71,92.352,1691.5,200.44,440.82,1659.2,136.26,534.51,1767.3,271.87,31.241,1627.4,343.72,909.5,1191.8,424.2,82.33,1399.6,408.1,834.46,1829.6,194.98,179.46,,,,1384.5,512.08,525.7,1045.7,412.38,103.63,1333.3,452.37,440.19,1226.1,479.4,159.75,1942.5,293.14,92.811,1216.4,369.93,46.254
26,0.25,1886.7,252.28,96.989,1676.6,199.9,439.72,1644.3,136.15,533.73,1766.8,271.43,30.674,1608.8,344.79,907.67,1174.8,424.21,80.457,1380.5,408.72,833.03,1823,193.71,182.87,,,,1364.4,513.24,524.69,1029.2,411.57,98.061,1311.9,453.09,439.76,1206.7,479.64,159.33,1938.4,290.98,100.29,1199.7,370.16,46.667
27,0.26,1881.6,250.6,102.32,1660.3,199.25,438.24,1627.9,136.01,532.64,1766.4,271.09,30.006,1590.2,345.62,906.15,1161.2,424.17,78.099,1361.4,409.58,832.14,1815.1,192.26,186.52,,,,1343.5,514.51,524.7,1016.2,410.72,90.215,1290.1,453.86,440.08,1189.7,479.81,158.77,1933.1,288.54,108.69,1187,370.36,47.155
28,0.27,1875.2,248.75,108.43,1642.3,198.51,436.35,1610,135.87,531.19,1766,270.89,29.361,1571.5,346.23,904.96,1150.5,424.11,75.642,1342.3,410.67,831.82,1805.8,190.73,190.43,,,,1322.2,515.87,525.68,1006.2,409.93,80.925,1267.9,454.66,441.07,1174.7,479.95,158.12,1926.3,285.97,118.03,1177.6,370.57,47.731
29,0.28,1867.3,246.87,115.35,1622.5,197.71,434.02,1590.4,135.75,529.34,1765.4,270.85,28.92,1553,346.62,904.13,1142.1,424.08,73.433,1323.3,412,832.09,1795,189.18,194.58,,,,1300.5,517.29,527.51,998.68,409.28,71.134,1245.8,455.47,442.62,1161.5,480.07,157.43,1917.7,283.48,128.3,1171,370.81,48.416
