Field,Time,LANK:X,LANK:Y,LANK:Z,LKNE:X,LKNE:Y,LKNE:Z,LTHI:X,LTHI:Y,LTHI:Z,LTOE:X,LTOE:Y,LTOE:Z,SACR:X,SACR:Y,SACR:Z,RANK:X,RANK:Y,RANK:Z,RASI:X,RASI:Y,RASI:Z,LTIB:X,LTIB:Y,LTIB:Z,LASI:X,LASI:Y,LASI:Z,RTHI:X,RTHI:Y,RTHI:Z,RTOE:X,RTOE:Y,RTOE:Z,RKNE:X,RKNE:Y,RKNE:Z,RTIB:X,RTIB:Y,RTIB:Z,LHEE:X,LHEE:Y,LHEE:Z,RHEE:X,RHEE:Y,RHEE:Z
1,0,-1204.2,477.76,93.603,-1107.5,503.49,558.84,-1108,556.33,643.96,-1063.9,457.96,54.816,-1278.2,375.72,1148.6,-1305.6,258.31,158.98,,,,-1170.6,534.98,195.81,,,,,,,-1188.5,246.96,69.559,-1056.2,212.73,563.85,-1256.5,197.82,267.76,,,,-1356.7,325.52,155.09
2,0.01,-1203.9,477.71,93.662,-1104.8,504.78,558.26,-1104.6,558.01,643.67,-1064,457.46,54.653,-1264.2,375.97,1148.7,-1262.5,260.91,148.83,,,,-1170,535.14,195.62,,,,,,,-1140.7,244.86,66.997,-1033.9,213.09,567,-1220.8,200.21,261.04,,,,-1311.1,328.69,141.74
3,0.02,-1203.5,477.68,93.751,-1102,506.05,557.64,-1100.9,559.65,643.32,-1064.1,457.29,54.579,-1250.2,376.1,1148.4,-1219,262.99,139.38,,,,-1169.4,535.35,195.42,,,,,,,-1092.9,242.89,64.769,-1012.1,213.52,569.52,-1184.7,202.24,254.44,-1261.6,423.65,77.212,-1265.2,331.29,129.34
4,0.03,-1203.3,477.65,93.869,-1098.9,507.31,556.98,-1096.9,561.24,642.94,-1063.9,457.79,54.742,-1236.1,376.11,1147.7,-1175,264.57,130.64,,,,-1168.8,535.61,195.21,,,,,,,-1045,241.07,62.887,-990.77,214.04,571.4,-1148.3,203.89,247.97,-1260.9,423.72,77.704,-1219,333.31,117.91
5,0.04,-1203,477.64,94.014,-1095.5,508.54,556.27,-1092.5,562.78,642.5,-1063.8,458.66,54.867,-1222.1,376,1146.6,-1130.6,265.64,122.63,,,,-1168.3,535.91,194.97,,,,,,,-997.2,239.39,61.39,-969.95,214.64,572.65,-1111.5,205.19,241.66,-1260.3,423.73,78.122,-1172.5,334.76,107.46
6,0.05,-1202.8,477.64,94.181,-1091.9,509.76,555.52,-1087.7,564.25,641.99,-1064,458.95,54.531,-1208,375.77,1145.1,-1085.7,266.21,115.37,,,,-1167.8,536.24,194.72,,,,,,,-949.37,237.86,60.353,-949.59,215.32,573.27,-1074.3,206.12,235.56,-1259.8,423.7,78.473,-1125.9,335.64,98.006
7,0.06,-1202.7,477.64,94.368,-1088.1,510.96,554.72,-1082.5,565.66,641.41,-1064.2,458.88,54.233,-1193.9,375.42,1143.3,-1040.5,266.31,108.91,,,,-1167.3,536.61,194.45,,,,,,,-901.58,236.52,59.901,-929.67,216.07,573.26,-1036.8,206.69,229.73,-1259.3,423.62,78.773,-1079,335.96,89.568
8,0.07,-1202.5,477.62,94.571,-1084,512.13,553.86,-1077,566.97,640.74,-1064.1,459.14,54.31,-1179.7,374.95,1141,-994.94,265.94,103.3,,,,-1166.8,537,194.17,,,,,,,-853.88,235.39,60.2,-910.15,216.89,572.67,-998.79,206.89,224.28,-1259,423.49,79.053,-1032.2,335.73,82.172
9,0.08,-1202.4,477.57,94.789,-1079.7,513.28,552.94,-1071,568.19,639.97,-1064.2,459.31,54.056,-1165.5,374.36,1138.3,-949.15,265.11,98.628,,,,-1166.3,537.41,193.89,,,,,,,-806.31,234.53,61.45,-890.97,217.77,571.52,-960.35,206.72,219.33,-1258.8,423.32,79.354,-985.3,334.95,75.829
10,0.09,-1202.3,477.47,95.023,-1075.1,514.39,551.97,-1064.6,569.31,639.09,-1064.4,459.24,53.725,-1151.3,373.64,1135.3,-903.27,263.86,94.945,,,,-1165.6,537.82,193.64,,,,,,,-758.97,234.02,63.844,-872.07,218.69,569.87,-921.49,206.14,215.01,-1258.6,423.09,79.719,-938.64,333.63,70.541
11,0.1,-1202.3,477.3,95.276,-1070.1,515.46,550.93,-1057.7,570.32,638.09,-1064.1,459.63,54.036,-1136.9,372.81,1132,-857.48,262.22,92.315,,,,-1164.9,538.22,193.42,,,,,,,-711.94,233.93,67.536,-853.37,219.62,567.79,-882.27,205.14,211.45,-1258.5,422.81,80.193,-892.33,331.8,66.292
12,0.11,-1202.1,477.07,95.557,-1064.9,516.49,549.82,-1050.4,571.24,636.98,-1063.9,459.86,54.273,-1122.5,371.86,1128.4,-812.03,260.23,90.776,,,,-1164,538.59,193.25,,,,,,,-665.4,234.32,72.595,-834.79,220.54,565.36,-842.81,203.72,208.75,-1258.5,422.48,80.808,-846.57,329.5,63.05
13,0.12,-1202,476.77,95.875,-1059.3,517.45,548.64,-1042.7,572.08,635.75,-1063.9,459.81,54.222,-1108,370.81,1124.5,-767.18,257.98,90.321,,,,-1162.9,538.91,193.13,,,,,,,-619.56,235.24,78.972,-816.25,221.42,562.66,-803.34,201.92,206.99,-1258.4,422.12,81.588,-801.59,326.81,60.765
14,0.13,-1201.8,476.42,96.245,-1053.4,518.36,547.4,-1034.7,572.86,634.42,-1063.9,459.81,54.012,-1093.3,369.66,1120.4,-723.25,255.56,90.886,,,,-1161.6,539.19,193.08,,,,,,,-574.71,236.67,86.486,-797.66,222.24,559.79,-764.17,199.83,206.17,-1258.4,421.73,82.541,-757.67,323.86,59.363
15,0.14,-1201.5,476.05,96.69,-1047.1,519.2,546.1,-1026.4,573.6,632.99,-1064.1,459.29,53.452,-1078.6,368.43,1116.2,-680.61,253.12,92.329,,,,-1160.2,539.41,193.08,,,,,,,-531.21,238.56,94.824,-778.94,222.98,556.84,-725.71,197.56,206.22,-1258.2,421.34,83.671,-715.09,320.81,58.735
