accelZ,accelY,accelZ
9.750980000000000203e-01,1.709000000000000102e-02,5.956999999999999795e-02
9.741210000000000147e-01,1.391599999999999955e-02,5.981399999999999911e-02
9.743650000000000366e-01,1.879899999999999974e-02,6.079099999999999782e-02
9.738769999999999927e-01,1.953099999999999975e-02,6.176800000000000346e-02
9.736329999999999707e-01,1.757799999999999987e-02,6.176800000000000346e-02
9.728999999999999870e-01,1.416000000000000071e-02,5.981399999999999911e-02
9.750980000000000203e-01,2.270499999999999949e-02,6.689499999999999613e-02
9.750980000000000203e-01,2.221700000000000064e-02,6.640600000000000669e-02
9.738769999999999927e-01,1.831100000000000089e-02,6.225599999999999884e-02
9.741210000000000147e-01,1.831100000000000089e-02,6.811499999999999500e-02
9.780269999999999797e-01,1.757799999999999987e-02,6.933599999999999486e-02
9.702150000000000496e-01,1.831100000000000089e-02,6.982399999999999718e-02
9.792480000000000073e-01,1.904300000000000090e-02,7.177699999999999358e-02
9.707029999999999825e-01,1.904300000000000090e-02,7.055699999999999472e-02
9.755859999999999532e-01,1.586900000000000116e-02,7.080100000000000282e-02
9.726559999999999651e-01,1.855499999999999858e-02,7.055699999999999472e-02
9.741210000000000147e-01,1.782200000000000104e-02,7.006800000000000528e-02
9.763180000000000192e-01,1.586900000000000116e-02,7.324200000000000155e-02
9.724120000000000541e-01,1.538100000000000057e-02,7.080100000000000282e-02
9.741210000000000147e-01,1.928699999999999859e-02,6.787100000000000077e-02
9.728999999999999870e-01,1.928699999999999859e-02,6.982399999999999718e-02
9.753420000000000423e-01,1.660199999999999870e-02,7.153299999999999936e-02
9.750980000000000203e-01,1.269499999999999969e-02,6.958000000000000296e-02
9.748539999999999983e-01,1.806599999999999873e-02,6.665000000000000091e-02
9.724120000000000541e-01,1.733399999999999871e-02,7.153299999999999936e-02
9.782710000000000017e-01,1.831100000000000089e-02,7.275399999999999923e-02
9.702150000000000496e-01,1.806599999999999873e-02,7.397499999999999909e-02
9.748539999999999983e-01,1.709000000000000102e-02,7.373000000000000387e-02
9.726559999999999651e-01,1.831100000000000089e-02,7.226599999999999691e-02
9.736329999999999707e-01,1.855499999999999858e-02,7.324200000000000155e-02
9.733889999999999487e-01,1.806599999999999873e-02,7.153299999999999936e-02
9.738769999999999927e-01,1.757799999999999987e-02,7.275399999999999923e-02
9.748539999999999983e-01,1.733399999999999871e-02,7.202100000000000168e-02
9.741210000000000147e-01,1.782200000000000104e-02,7.202100000000000168e-02
9.726559999999999651e-01,1.684599999999999986e-02,7.348599999999999577e-02
9.728999999999999870e-01,1.977500000000000091e-02,7.348599999999999577e-02
9.738769999999999927e-01,1.611299999999999885e-02,7.421899999999999331e-02
9.724120000000000541e-01,1.709000000000000102e-02,7.251000000000000500e-02
9.755859999999999532e-01,1.855499999999999858e-02,7.324200000000000155e-02
9.743650000000000366e-01,1.733399999999999871e-02,7.641599999999999782e-02
9.748539999999999983e-01,1.806599999999999873e-02,7.788100000000000578e-02
9.750980000000000203e-01,1.489299999999999999e-02,8.178699999999999859e-02
9.716799999999999882e-01,1.562500000000000000e-02,7.885699999999999654e-02
9.758299999999999752e-01,1.977500000000000091e-02,7.690400000000000014e-02
9.714359999999999662e-01,1.709000000000000102e-02,7.592799999999999550e-02
9.743650000000000366e-01,1.855499999999999858e-02,7.446300000000000141e-02
9.741210000000000147e-01,1.928699999999999859e-02,7.763699999999999768e-02
9.707029999999999825e-01,1.660199999999999870e-02,7.861300000000000232e-02
9.736329999999999707e-01,1.879899999999999974e-02,7.885699999999999654e-02
9.719240000000000101e-01,1.635700000000000001e-02,7.910200000000000564e-02
9.741210000000000147e-01,1.684599999999999986e-02,7.836899999999999422e-02
9.726559999999999651e-01,1.782200000000000104e-02,8.105500000000000205e-02
9.714359999999999662e-01,1.806599999999999873e-02,8.105500000000000205e-02
9.733889999999999487e-01,1.733399999999999871e-02,7.763699999999999768e-02
9.714359999999999662e-01,1.904300000000000090e-02,8.227500000000000091e-02
9.750980000000000203e-01,2.050799999999999845e-02,8.300799999999999845e-02
9.714359999999999662e-01,1.831100000000000089e-02,8.642600000000000282e-02
9.750980000000000203e-01,1.977500000000000091e-02,8.276400000000000423e-02
9.736329999999999707e-01,1.953099999999999975e-02,8.471700000000000064e-02
9.736329999999999707e-01,1.538100000000000057e-02,8.349600000000000077e-02
9.748539999999999983e-01,1.684599999999999986e-02,8.349600000000000077e-02
9.724120000000000541e-01,1.709000000000000102e-02,8.569300000000000528e-02
9.738769999999999927e-01,1.782200000000000104e-02,8.496099999999999486e-02
9.741210000000000147e-01,1.977500000000000091e-02,8.691400000000000514e-02
9.733889999999999487e-01,1.831100000000000089e-02,8.349600000000000077e-02
9.753420000000000423e-01,1.782200000000000104e-02,8.496099999999999486e-02
9.719240000000000101e-01,1.831100000000000089e-02,8.447300000000000642e-02
9.707029999999999825e-01,2.001999999999999960e-02,9.033199999999999563e-02
9.741210000000000147e-01,1.855499999999999858e-02,8.251999999999999613e-02
9.731450000000000378e-01,1.757799999999999987e-02,9.008800000000000141e-02
9.699710000000000276e-01,1.977500000000000091e-02,8.935500000000000387e-02
9.711910000000000265e-01,1.879899999999999974e-02,9.350600000000000578e-02
9.719240000000000101e-01,2.050799999999999845e-02,9.228500000000000592e-02
9.750980000000000203e-01,1.562500000000000000e-02,8.984399999999999331e-02
9.707029999999999825e-01,1.733399999999999871e-02,9.155299999999999550e-02
9.738769999999999927e-01,1.660199999999999870e-02,9.130900000000000127e-02
9.724120000000000541e-01,1.709000000000000102e-02,8.984399999999999331e-02
9.746089999999999476e-01,1.709000000000000102e-02,9.008800000000000141e-02
9.743650000000000366e-01,1.806599999999999873e-02,8.813500000000000500e-02
9.728999999999999870e-01,1.489299999999999999e-02,8.691400000000000514e-02
9.741210000000000147e-01,1.586900000000000116e-02,8.520500000000000296e-02
9.760739999999999972e-01,1.562500000000000000e-02,8.666999999999999704e-02
9.753420000000000423e-01,1.293900000000000085e-02,9.008800000000000141e-02
9.724120000000000541e-01,1.220700000000000084e-02,8.349600000000000077e-02
9.748539999999999983e-01,1.586900000000000116e-02,8.520500000000000296e-02
9.675289999999999724e-01,1.147500000000000082e-02,8.569300000000000528e-02
9.748539999999999983e-01,1.611299999999999885e-02,8.959999999999999909e-02
9.741210000000000147e-01,1.489299999999999999e-02,8.813500000000000500e-02
9.733889999999999487e-01,1.538100000000000057e-02,8.544899999999999718e-02
9.694819999999999549e-01,1.293900000000000085e-02,8.544899999999999718e-02
9.724120000000000541e-01,1.538100000000000057e-02,8.862299999999999345e-02
9.707029999999999825e-01,1.367200000000000013e-02,9.008800000000000141e-02
9.707029999999999825e-01,1.391599999999999955e-02,9.106400000000000605e-02
9.709470000000000045e-01,1.733399999999999871e-02,9.301800000000000346e-02
9.731450000000000378e-01,1.562500000000000000e-02,9.204099999999999782e-02
9.743650000000000366e-01,1.318399999999999954e-02,9.204099999999999782e-02
9.748539999999999983e-01,1.635700000000000001e-02,9.252900000000000014e-02
9.731450000000000378e-01,1.806599999999999873e-02,9.155299999999999550e-02
9.777829999999999577e-01,1.953099999999999975e-02,9.497099999999999986e-02
9.707029999999999825e-01,1.709000000000000102e-02,9.741199999999999859e-02
9.736329999999999707e-01,1.953099999999999975e-02,9.887700000000000655e-02
9.724120000000000541e-01,1.904300000000000090e-02,1.018069999999999947e-01
9.738769999999999927e-01,1.904300000000000090e-02,9.814499999999999613e-02
9.711910000000000265e-01,1.855499999999999858e-02,9.912100000000000077e-02
9.699710000000000276e-01,1.904300000000000090e-02,9.643599999999999395e-02
9.714359999999999662e-01,1.709000000000000102e-02,9.668000000000000205e-02
9.675289999999999724e-01,1.660199999999999870e-02,9.643599999999999395e-02
9.728999999999999870e-01,1.831100000000000089e-02,9.765600000000000669e-02
9.738769999999999927e-01,2.319299999999999834e-02,9.448199999999999654e-02
9.750980000000000203e-01,2.148399999999999962e-02,9.057600000000000373e-02
9.733889999999999487e-01,2.001999999999999960e-02,9.155299999999999550e-02
9.721680000000000321e-01,2.221700000000000064e-02,8.959999999999999909e-02
9.748539999999999983e-01,1.855499999999999858e-02,9.570299999999999641e-02
9.731450000000000378e-01,1.855499999999999858e-02,9.179700000000000359e-02
9.716799999999999882e-01,1.709000000000000102e-02,9.057600000000000373e-02
9.716799999999999882e-01,1.928699999999999859e-02,9.228500000000000592e-02
9.665529999999999955e-01,1.782200000000000104e-02,9.228500000000000592e-02
9.711910000000000265e-01,1.562500000000000000e-02,9.936499999999999500e-02
9.733889999999999487e-01,1.953099999999999975e-02,1.008300000000000030e-01
9.721680000000000321e-01,1.977500000000000091e-02,1.049800000000000039e-01
9.719240000000000101e-01,1.831100000000000089e-02,1.042479999999999934e-01
